WelcomeScreen.started,WelcomeScreen.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,consnet.started,consnet.stopped,consent_2.started,consent_2.stopped,consent_3.started,consent_3.stopped,consent_4.started,consent_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,BlanksScreen.started,BlanksScreen.stopped,Instructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,StudyTrials.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordItem,math_instruction.started,math_instruction.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,math.started,math.stopped,math_key_resp.keys,math_key_resp.rt,math_key_resp.duration,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,MathProblem,WaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,Y_NScreen.started,Y_NScreen.stopped,key_Y_NScreen.keys,key_Y_NScreen.rt,key_Y_NScreen.duration,TestTrials.started,TestTrials.stopped,memory_test_key_resp.keys,memory_test_key_resp.rt,memory_test_key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,LSQInstructions.started,LSQInstructions.stopped,TestInstructionKey.keys,TestInstructionKey.rt,TestInstructionKey.duration,LonlinessScaleQuestions.started,LonlinessScaleQuestions.stopped,LonlinessQuestionsKeyResp.keys,LonlinessQuestionsKeyResp.rt,LonlinessQuestionsKeyResp.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Questions,end_exp.started,end_exp.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,debrief.started,debrief.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,EndScreen.started,EndScreen.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration
0.0004,0.9759,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,0.976,1.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,1.627,1.9439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,1.9441,2.1599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,2.16,8.2774,y,6.0976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,8.2775,8.7763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,8.7765,9.6938,space,0.9025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,10.7101,11.1948,,,,,,9.7114,10.7101,0,0,0,3,1,Chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,12.1934,12.6939,,,,,,11.1953,12.1933,0,1,1,5,1,Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,13.6934,14.1934,,,,,,12.6945,13.6934,0,2,2,1,1,Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,15.1941,15.6936,,,,,,14.1936,15.194,0,3,3,4,1,Silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,16.6939,17.1942,,,,,,15.6937,16.6939,0,4,4,2,1,Elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,18.1938,18.6934,,,,,,17.1946,18.1938,0,5,5,0,1,Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6938,21.5105,space,2.7996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,26.6774,27.1777,,,,,,,,,,,,,,,,,,,21.5162,26.6774,f,5.1486,,0,0,0,1,1,"Please answer the following question:
7-4=3

Type T for True
Type F for False  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,28.8607,29.3614,,,,,,,,,,,,,,,,,,,27.1787,28.8607,f,1.6566,,0,1,1,0,1,"Please answer the following question:
2+3=10

Type T for True
Type F for False  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.362,29.9941,space,0.6177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,29.9942,30.4946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4951,36.3446,space,5.8288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,36.3446,36.8445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,37.6943,38.1947,,,,,,,,,,,,,Whip,,,,,,,,,,,,,,,,,,,,,,,,,,,36.8555,37.6943,n,0.8267,,0,0,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,39.3104,39.8113,,,,,,,,,,,,,Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1957,39.3103,y,1.0985,,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,40.594,41.0945,,,,,,,,,,,,,Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8116,40.5939,y,0.7629,,0,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,41.8773,42.3777,,,,,,,,,,,,,Pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0948,41.8772,n,0.7654,,0,3,3,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,43.178,43.6771,,,,,,,,,,,,,Silk,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3779,43.178,y,0.7934,,0,4,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,674932,001,2024-03-15_10h36.15.674,PRP Memory Experiment ,2023.2.3,MacIntel,60.24096386,,,,,,,,,,,,44.5448,45.0439,,,,,,,,,,,,,Giant,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6773,44.5448,n,0.847,,0,5,5,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
