WelcomeScreen.started,WelcomeScreen.stopped,participant,session,date,expName,psychopyVersion,OS,frameRate,consnet.started,consnet.stopped,consent_2.started,consent_2.stopped,consent_3.started,consent_3.stopped,consent_4.started,consent_4.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.duration,BlanksScreen.started,BlanksScreen.stopped,Instructions.started,Instructions.stopped,keyInstructions.keys,keyInstructions.rt,keyInstructions.duration,StudyTrials.started,StudyTrials.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,WordItem,math_instruction.started,math_instruction.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,math.started,math.stopped,math_key_resp.keys,math_key_resp.rt,math_key_resp.duration,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,MathProblem,WaitScreen.started,WaitScreen.stopped,keyWaitScreen.keys,keyWaitScreen.rt,keyWaitScreen.duration,Y_NScreen.started,Y_NScreen.stopped,key_Y_NScreen.keys,key_Y_NScreen.rt,key_Y_NScreen.duration,TestTrials.started,TestTrials.stopped,memory_test_key_resp.keys,memory_test_key_resp.rt,memory_test_key_resp.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,LSQInstructions.started,LSQInstructions.stopped,TestInstructionKey.keys,TestInstructionKey.rt,TestInstructionKey.duration,LonlinessScaleQuestions.started,LonlinessScaleQuestions.stopped,LonlinessQuestionsKeyResp.keys,LonlinessQuestionsKeyResp.rt,LonlinessQuestionsKeyResp.duration,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Questions,end_exp.started,end_exp.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.duration,debrief.started,debrief.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,EndScreen.started,EndScreen.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.duration
0,4.244,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,4.244,43.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,43.563,60.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,60.894,74.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,74.179,84.696,y,10.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,84.7,85.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,,,85.196,95.047,space,9.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,96.063,96.562,,,,,,95.068,96.063,0,0,0,3,1,Chest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,97.562,98.062,,,,,,96.564,97.562,0,1,1,0,1,Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,99.062,99.562,,,,,,98.063,99.062,0,2,2,5,1,Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,100.562,101.062,,,,,,99.563,100.562,0,3,3,1,1,Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,102.062,102.562,,,,,,101.063,102.062,0,4,4,2,1,Elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,103.562,104.062,,,,,,102.563,103.562,0,5,5,4,1,Silk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,966278,001,2024-03-07_13h19.33.271,PRP Memory Experiment ,2023.2.3,MacIntel,9.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,104.064,116.463,space,12.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
